id,business_name,slug,city,state,phone,website,email,street_address,postal_code,latitude,longitude,rating,review_count,photo_url,hours,services_offered,source,enriched_at,contacted_at,contact_status,has_luxury,has_ada,has_trailer,serves_events,serves_construction,delivery_radius_miles,created_at,updated_at,description,featured,verified,scrape_status,enrich_status,enrich_confidence_email,enrich_confidence_phone,outreach_status,email1_sent_at,email2_sent_at,email3_sent_at,outreach_count,verified_at,facebook_url,instagram_url,linkedin_url,twitter_url
695f5170-1178-475a-a5c4-cbb3c38d2490,JLD Enterprises LLC,jld-enterprises-llc-auburn,Auburn,Alabama,(334) 300-1500,https://jldenterprisesllc.com/,info@jldenterprises.com,"360 Cox Rd, Auburn, AL 36830",36830,32.54211400,-85.52229760,3.1,29,https://lh3.googleusercontent.com/p/AF1QipNHl8POBtPRolV9yog8hRWTleALv_3DjI_9RruG=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""8AM-5PM"",""Tuesday"":""8AM-5PM"",""Wednesday"":""8AM-5PM"",""Thursday"":""8AM-5PM"",""Friday"":""8AM-5PM"",""Saturday"":""Closed""}","[""Construction company"",""Asphalt contractor"",""Demolition contractor"",""Dumpster rental service"",""Excavating contractor""]",outscraper,,2025-12-17 21:37:15.244+00,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
2f724af3-f60f-4377-8817-cc0230c3174c,Precoat Metals,precoat-metals-bessemer,Bessemer,Alabama,(205) 744-3200,https://www.azz.com/precoat-metals/,melanie.fricke@azz.com,"3399 Davey Allison Blvd, Bessemer, AL 35023",35023,33.44214900,-86.97278900,2.1,175,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSybMVmhXzCPO02ohwZ21k5QijEUMaTicqTewl6O04R69WAb_n7KFGL6bei5-AEv0oHdxxjNi-uARwyAHgJarC2nSaVe-1Dy-kZZMqGvd7bMkqYjlXfZk8XKU_IRkzJeKrGBzvzR=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""7AM-7PM"",""Tuesday"":""7AM-7PM"",""Wednesday"":""7AM-7PM"",""Thursday"":""7AM-7PM"",""Friday"":""7AM-7PM"",""Saturday"":""Closed""}","[""Steel fabricator""]",outscraper,2025-12-24 12:13:56.994+00,2025-12-24 16:19:51.623+00,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Precoat Metals is a supplier of coil coating services that applies protective and decorative coatings to coils of steel and aluminum. They offer services including lamination, slitting, shape correction, embossing, striping, and printing.",false,false,ready,pending,,,pending,,,,0,,,,,
d876ab97-6df8-40bf-a836-25d9e7ce5836,Grain Craft,grain-craft-birmingham,Birmingham,Alabama,(205) 798-2360,https://www.graincraft.com/,,"700 Milner Dr, Birmingham, AL 35214",35214,33.54208750,-86.90901180,4.2,27,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwc1y0SFQhilh4WG_K8Hu0Tcz4X2Q9dzxS16bonVD2q9hLA7Gkx71tz3jwvznScFP9zrtTzNzqh5vWwhdQesPQ7SHRDxwBZg2G09UOK-kjmAmvx51Gg_nKk3mQvbJwh4nphDxnuZg=w800-h500-k-no,"{""Sunday"":""Open 24 hours"",""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours""}","[""Flour mill""]",outscraper,2025-12-24 12:13:46.973+00,,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"<cite index='16-9,16-12'>Grain Craft is the third largest wheat flour miller in the United States, offering premium bulk and bagged grain products for the baking, culinary, food service, pizza and tortilla industries</cite>.",false,false,ready,pending,,,pending,,,,0,,,,,
103810ba-a0d3-4e77-ba0e-1d7365fd9030,Strickland Portable Toilets,strickland-portable-toilets-cullman,Cullman,Alabama,(256) 734-5773,,,,35055,34.12508240,-86.85669030,5.0,7,https://lh3.googleusercontent.com/p/AF1QipNft0Kicy-1lWftUz-HgmYKdZpNWil_ATaWs3vL=w800-h500-k-no,"{""Monday"":""7AM-3PM"",""Tuesday"":""7AM-3PM"",""Wednesday"":""7AM-3PM"",""Thursday"":""7AM-3PM"",""Friday"":""7AM-3PM"",""Saturday"":""Closed"",""Sunday"":""Closed""}","[""Portable toilet supplier""]",outscraper,,,,false,false,false,false,false,,2025-12-26 19:42:29.238943+00,2025-12-26 19:42:29.238943+00,,false,false,ready,pending,,,pending,,,,0,,,,,
33c3b074-b222-4f03-b91e-ccab5c2c0370,Martin Environmental Services Inc,martin-environmental-services-inc-dothan,Dothan,Alabama,(334) 702-4477,https://martinenvironmentalsvcs.com/,,"1004 N Beverlye Rd, Dothan, AL 36303",36303,31.22131550,-85.34828540,3.5,111,https://lh3.googleusercontent.com/p/AF1QipMKiyysWEbasBXBHIy6XZMw9HD-IT-jLSAu1hgW=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""7:30AM-4:30PM"",""Tuesday"":""7:30AM-4:30PM"",""Wednesday"":""7:30AM-4:30PM"",""Thursday"":""7:30AM-4:30PM"",""Friday"":""7:30AM-4:30PM"",""Saturday"":""Closed""}","[""Waste management service"",""Garbage collection service"",""Portable toilet supplier""]",outscraper,2025-12-24 12:13:42.069+00,,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
9a95a8da-2e7a-45b3-aaec-a9432abac5a3,Portable Toilet Services,portable-toilet-services-dothan,Dothan,Alabama,(334) 794-2144,,,,36303,31.24755690,-85.38294930,4.7,3,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwL09t-LpOJ83-68ilDlbf9cgQsJB1vgaTFeY7YhLmbEganlUqj4M6dgU6yHzXt264wESG2bcZA-zLRPPp6vm0EOI_aUorDiyROWotuMujlNS5yLiViobOL6r3AGbY7TYiBhjdi=w800-h500-k-no,,"[""Portable toilet supplier""]",outscraper,2025-12-24 12:11:36.868+00,,,true,false,true,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,Locally owned and operated portable toilet rental service providing clean portable toilets to Dothan and surrounding areas since 1964.,false,false,ready,pending,,,pending,,,,0,,,,,
e3fb5faa-a8a9-4cd2-a094-885aea7b0db1,E & M Contractors,e-m-contractors-ethelsville,Ethelsville,Alabama,(205) 826-7794,,,,35461,33.37283680,-88.13316130,4.6,9,https://lh3.googleusercontent.com/p/AF1QipPJjCUNHAM-hAxkwV_zHf92lE0mS4mJNeJzp-Zw=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""7:30AM-5PM"",""Tuesday"":""7:30AM-5PM"",""Wednesday"":""7:30AM-5PM"",""Thursday"":""7:30AM-5PM"",""Friday"":""7:30AM-5PM"",""Saturday"":""Closed""}","[""Septic system service"",""Portable toilet supplier""]",outscraper,,,,false,false,false,false,false,,2025-12-17 13:55:51.038474+00,2025-12-17 13:55:51.038474+00,E & M Contractors is a Septic Tank Cleaning Service business. The company was founded in 2008 and is incorporated in Alabama.,false,false,ready,pending,,,pending,,,,0,,,,,
84c502a1-94c3-4e15-9a7c-8ae01540eb3d,Easy-Haul Inc.,easy-haul-inc-fairhope,Fairhope,Alabama,(251) 929-2133,,,,36532,30.46933100,-87.88498790,4.5,20,https://lh3.googleusercontent.com/p/AF1QipMiIx8H7kVq8vhce1HiuR-q9HvV_azrYVYPmTpq=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""7AM-4:30PM"",""Tuesday"":""7AM-4:30PM"",""Wednesday"":""7AM-4:30PM"",""Thursday"":""7AM-4:30PM"",""Friday"":""7AM-4PM"",""Saturday"":""Closed""}","[""Garbage collection service"",""Dumpster rental service"",""Portable toilet supplier""]",outscraper,2025-12-24 12:52:22.834+00,,,true,true,true,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
a6ea2d3a-3d41-41fb-95e0-56b206fb06de,EZ. Breezy Bins,ez-breezy-bins-florence,Florence,Alabama,(256) 856-4759,,,,35630,34.81592220,-87.66713020,5.0,14,https://lh3.googleusercontent.com/p/AF1QipNGPmgjJxhGByQmX3ziDuuQ8HKiCAXpZQLZZuxw=w800-h500-k-no,"{""Monday"":""7:30AM-4:30PM"",""Tuesday"":""7:30AM-4:30PM"",""Wednesday"":""7:30AM-4:30PM"",""Thursday"":""7:30AM-4:30PM"",""Friday"":""7:30AM-4:30PM"",""Saturday"":""Closed"",""Sunday"":""Closed""}","[""Portable toilet supplier"",""Dumpster rental service""]",outscraper,2025-12-24 12:12:40.518+00,2025-12-26 15:27:24.37+00,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"EZ Breezy Bins is a dumpster rental solution offering residential, commercial, and construction services. They provide affordable, reliable, and efficient dumpster services for short-term and long-term needs.",false,false,ready,pending,,,pending,,,,0,,,,,
32287cac-ac18-4308-9f85-b52dac55e224,Able Portable Toilets & Septic,able-portable-toilets-septic-gadsden,Gadsden,Alabama,(256) 492-8886,,,,35905,33.91055000,-85.91281000,4.4,14,https://lh3.googleusercontent.com/p/AF1QipNnAhAXEeNmZ2U-4b5C_J12iyB8kbWtQe_nbfsf=w800-h500-k-no,"{""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours""}","[""Septic system service"",""Portable toilet supplier""]",outscraper,2025-12-24 12:11:31.744+00,,,false,false,true,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Premier plumber and septic service company in Gadsden, AL offering services including portable toilets, sewer repairs, septic repair, and restroom rentals",false,false,ready,pending,,,pending,,,,0,,,,,
a7f04a01-852c-4470-bdbb-50e57cd9b0f2,McMichael Waste Services,mcmichael-waste-services-glencoe,Glencoe,Alabama,(888) 438-6118,,,,35905,33.90978900,-85.91488910,5.0,33,https://lh3.googleusercontent.com/p/AF1QipMQQr8UCJ6s2MWvSBF-fu7iIn-XHOgoh63lx98l=w800-h500-k-no,"{""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours""}","[""Portable toilet supplier"",""Dumpster rental service"",""Excavating contractor"",""Septic system service""]",outscraper,,,,false,false,false,false,false,,2025-12-26 19:42:29.238943+00,2025-12-26 19:42:29.238943+00,,false,false,ready,pending,,,pending,,,,0,,,,,
6ac7c12c-f9bf-4151-9fcf-cf8f10d57003,United Site Services,united-site-services-grand-bay,Grand Bay,Alabama,(800) 864-5387,,,,36541,30.49885990,-88.32601160,3.9,7,https://lh3.googleusercontent.com/p/AF1QipNDa-kl0DBlTLGfAee1kuwAOicF0e1dskpOtuNE=w800-h500-k-no,"{""Sunday"":""Open 24 hours"",""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours""}","[""Portable toilet supplier"",""Fence supply store"",""Septic system service"",""Waste management service""]",outscraper,,,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
17822729-9ce4-42eb-9d87-51e7471a6317,Hoover Porta Potties | TidyPot,hoover-porta-potties-tidypot-hoover,Hoover,Alabama,(256) 834-5175,,,,35244,33.37891200,-86.80853920,4.7,7,https://lh3.googleusercontent.com/p/AF1QipN7tiF3iI6A_6RomUxXyuFrFY3WhGgWojBB-dd0=w800-h500-k-no,"{""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours""}","[""Portable toilet supplier""]",outscraper,2025-12-24 12:11:41.86+00,2025-12-17 21:37:16.455+00,,true,true,true,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
9ad2f64c-4909-47e4-b41a-8e4982c8fe1c,Flying J Travel Center,flying-j-travel-center-hope-hull,Hope Hull,Alabama,(334) 613-0212,,,,36043,32.19420290,-86.41967310,4.0,2310,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOfWf-0dJj3IvvRsOukwZ8k7AeBj_m5YjMeIIANe24bDNAIJAKJzw_chLsCQG0Wfrs2826a3lCIRIHtDnRun7odZh7NR0ZVb4S5CGcQXKjC9RNU1mklI_O3qBQjcfpWi7avy4ARw=w800-h500-k-no,"{""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours""}","[""Truck stop"",""Convenience store"",""Gas station""]",outscraper,2025-12-24 12:13:31.281+00,,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
e6c45090-ede6-4e79-9d58-c49c92cb864a,Love's Travel Stop,love-s-travel-stop-hope-hull,Hope Hull,Alabama,(334) 280-0009,https://www.loves.com/locations/al/hope-hull/loves-travel-stop-hope-hull-718,lori.lee@loves.com,"1127 Tyson Rd, Hope Hull, AL 36043",36043,32.19628720,-86.41519760,4.0,901,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOop76POxTjaziGrczTmRDH0JIGqVPfElkpl7StHV8SaRtLh-8PItnfhHhCqq6MLeDvnSEmEroJXrEzTFpGr9m-ufDq3DjgLL3030oXRCs7gtPh0hVXHVLsH7ADswusHW6l6A=w800-h500-k-no,"{""Sunday"":""Open 24 hours"",""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours""}","[""Truck stop"",""Convenience store"",""Gas station""]",outscraper,2025-12-24 12:56:32.736+00,2025-12-17 21:37:17.657+00,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
209f9f15-327d-4271-abee-4035fb2dda44,Huntsville Portable Toilets,huntsville-portable-toilets-huntsville,Huntsville,Alabama,(256) 413-9283,,,,35806,34.71764790,-86.67318820,5.0,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GCUx0-p6OD88MNvrJGhW4A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=93.1207&pitch=0&thumbfov=100,"{""Monday"":""7AM-9PM"",""Tuesday"":""7AM-9PM"",""Wednesday"":""7AM-9PM"",""Thursday"":""7AM-9PM"",""Friday"":""7AM-9PM"",""Saturday"":""7AM-9PM"",""Sunday"":""7AM-9PM""}","[""Portable toilet supplier""]",outscraper,,,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"A portable toilet rental company with decades of experience, priding themselves on sourcing top-rated local vendors and going the extra mile to deliver quality products and services",false,false,ready,pending,,,pending,,,,0,,,,,
3fd0ee42-e796-4302-8de4-94785e991283,Tate Services,tate-services-huntsville,Huntsville,Alabama,(256) 858-8389,,,,35806,34.78052970,-86.67019180,4.2,116,https://lh3.googleusercontent.com/p/AF1QipNSHSFLUNA1QbOFH5uS2ypfgrDbbtBqAJ_5BS2T=w800-h500-k-no,"{""Monday"":""7AM-5PM"",""Tuesday"":""7AM-5PM"",""Wednesday"":""7AM-5PM"",""Thursday"":""7AM-5PM"",""Friday"":""7AM-5PM"",""Saturday"":""Closed"",""Sunday"":""Closed""}","[""Portable toilet supplier"",""Waste management service""]",outscraper,2025-12-24 12:12:45.598+00,2025-12-17 21:37:18.919+00,,false,false,false,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
2456d3b6-79d6-46c4-8f6d-c9e4a1a0aee8,United Site Services,united-site-services-killen,Killen,Alabama,(800) 864-5387,,,,35645,34.85764860,-87.43782970,1.0,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RqK4yHHIfsr5Ker-qOvoNg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=255.02516&pitch=0&thumbfov=100,"{""Monday"":""6AM-7PM"",""Tuesday"":""6AM-7PM"",""Wednesday"":""6AM-7PM"",""Thursday"":""6AM-7PM"",""Friday"":""6AM-7PM"",""Saturday"":""7AM-3PM"",""Sunday"":""Closed""}","[""Portable toilet supplier"",""Fence supply store"",""Septic system service"",""Waste management service""]",outscraper,,,,false,false,false,false,false,,2025-12-26 19:45:49.838095+00,2025-12-26 19:45:49.838095+00,,false,false,ready,pending,,,pending,,,,0,,,,,
